[15 maj 2019 at 02:52:32 PDT] - hardcore: hello
[10 november 2019 at 06:25:32 PST] - hardcore: hello
[10 november 2019 at 06:26:50 PST] - hardcore: l
[10 november 2019 at 06:27:27 PST] - hardcore: hello
[10 november 2019 at 06:28:01 PST] - hardcore: l
[10 november 2019 at 06:30:28 PST] - hardcore: lol
[10 november 2019 at 06:30:33 PST] - hardcore: helo
[10 november 2019 at 06:31:02 PST] - hardcore: test
[10 november 2019 at 06:31:16 PST] - hardcore: test
[10 november 2019 at 06:31:20 PST] - hardcore: test
[10 november 2019 at 06:31:25 PST] - hardcore: test
[10 november 2019 at 06:31:50 PST] - hardcore: test
[10 november 2019 at 06:32:11 PST] - hardcore: lol
[10 november 2019 at 06:32:16 PST] - hardcore: lol
[10 november 2019 at 06:33:39 PST] - hardcore: test
