//npcId - hitpoints attackAnim defenceAnim deathAnim attackDelay deathDelay respawnDelay maxHit attackStyle attackGfx attackProjectile Agressive attackMethod
//Dragith Nurn
9622 - 250 -1 -1 -1 4 1 30 30 MAGE -1 -1 AGRESSIVE SLASH
//Reese
9624 - 20 -1 -1 -1 4 1 30 27 MELEE -1 -1 AGRESSIVE SLASH
//Caitlin
9626 - 20 -1 -1 -1 4 1 30 3 MAGE -1 -1 AGRESSIVE SLASH
//Dragith Nurn
9641 - 250 -1 -1 -1 4 1 30 30 MAGE -1 -1 AGRESSIVE SLASH
//Night-gazer Khighorahk
9725 - 312 13496 -1 13424 5 1 0 12 MAGE -1 -1 AGRESSIVE SLASH
//Night-gazer Khighorahk
9739 - 8750 13430 13420 13424 5 1 0 12 MAGE -1 -1 AGRESSIVE SLASH
//Sagittare
9753 - 312 13276 424 13353 3 1 50 7 MAGE -1 -1 AGRESSIVE SLASH
//Rammernaut
9767 - 312 13703 13701 13702 6 1 0 15 MAGE -1 -1 AGRESSIVE SLASH
//Stomp
9782 - 8750 13448 13447 13459 4 1 0 10 MAGE -1 -1 AGRESSIVE SLASH
//Lexicus Runewright
9842 - 312 13469 13468 13472 4 1 50 10 MAGE -1 -1 AGRESSIVE SLASH
//Tome of Strength
9856 - 31 13479 13478 13481 5 1 30 6 MAGE -1 -1 AGRESSIVE SLASH
//Tome of Ranging
9857 - 31 13479 13478 13481 5 1 30 6 MAGE -1 -1 AGRESSIVE SLASH
//Tome of Magic
9858 - 31 13479 13478 13481 5 1 30 6 MAGE -1 -1 AGRESSIVE SLASH
//Har'Lakk the Riftsplitter
9898 - 312 -1 -1 16988 4 1 50 10 MAGE -1 -1 AGRESSIVE SLASH
//Har'Lakk the Riftsplitter
9905 - 3500 -1 -1 16988 4 1 30 112 MAGE -1 -1 AGRESSIVE SLASH
//Luminescent icefiend
9912 - 62 13337 13335 13336 4 1 50 2 MAGE -1 -1 AGRESSIVE SLASH
//Plane-freezer Lakhrahnaz
9929 - 62 1 13771 13772 4 1 0 2 MAGE -1 -1 AGRESSIVE SLASH
//Gluttonous behemoth
9948 - 2450 13717 13716 13715 5 1 0 135 MAGE -1 -1 AGRESSIVE SLASH
//Gluttonous behemoth
9949 - 2450 13717 13716 13715 5 1 0 135 MAGE -1 -1 AGRESSIVE SLASH
//Gluttonous behemoth
9950 - 2450 13717 13716 13715 5 1 0 135 MAGE -1 -1 AGRESSIVE SLASH
//Gluttonous behemoth
9951 - 2450 13717 13716 13715 5 1 0 135 MAGE -1 -1 AGRESSIVE SLASH
//Gluttonous behemoth
9952 - 2450 13717 13716 13715 5 1 0 135 MAGE -1 -1 AGRESSIVE SLASH
//Gluttonous behemoth
9953 - 2450 13717 13716 13715 5 1 0 135 MAGE -1 -1 AGRESSIVE SLASH
//Gluttonous behemoth
9954 - 3960 13717 13716 13715 5 1 0 169 MAGE -1 -1 AGRESSIVE SLASH
//Gluttonous behemoth
9955 - 3960 13717 13716 13715 5 1 0 169 MAGE -1 -1 AGRESSIVE SLASH
//Gluttonous behemoth
9956 - 5560 13717 13716 13715 5 1 0 221 MAGE -1 -1 AGRESSIVE SLASH
//Gluttonous behemoth
9957 - 5560 13717 13716 13715 5 1 0 221 MAGE -1 -1 AGRESSIVE SLASH
//Gluttonous behemoth
9958 - 5560 13717 13716 13715 5 1 0 221 MAGE -1 -1 AGRESSIVE SLASH
//Gluttonous behemoth
9959 - 5560 13717 13716 13715 5 1 0 221 MAGE -1 -1 AGRESSIVE SLASH
//Gluttonous behemoth
9960 - 5560 13717 13716 13715 5 1 0 221 MAGE -1 -1 AGRESSIVE SLASH
//Gluttonous behemoth
9961 - 5560 13717 13716 13715 5 1 0 221 MAGE -1 -1 AGRESSIVE SLASH
//Gluttonous behemoth
9962 - 7000 13717 13716 13715 5 1 0 300 MAGE -1 -1 AGRESSIVE SLASH
//Gluttonous behemoth
9963 - 7000 13717 13716 13715 5 1 0 350 MAGE -1 -1 AGRESSIVE SLASH
//Gluttonous behemoth
9964 - 7000 13717 13716 13715 5 1 0 407 MAGE -1 -1 AGRESSIVE SLASH
//Astea Frostweb
9965 - 1750 2080 2079 836 5 1 0 124 MAGE -1 -1 AGRESSIVE SLASH
//Astea Frostweb
9966 - 1750 2080 2079 836 5 1 0 124 MAGE -1 -1 AGRESSIVE SLASH
//Astea Frostweb
9967 - 1750 2080 2079 836 5 1 0 124 MAGE -1 -1 AGRESSIVE SLASH
//Astea Frostweb
9968 - 1750 2080 2079 836 5 1 0 124 MAGE -1 -1 AGRESSIVE SLASH
//Astea Frostweb
9969 - 1750 2080 2079 836 5 1 0 124 MAGE -1 -1 AGRESSIVE SLASH
//Astea Frostweb
